,value,metric,type
0,3.0160876192009343,kde,full
1,4.769071918173356,kde,full
2,0.43514131841580433,kde,full
3,-0.05143181800511304,kde,full
4,-0.348162156414298,kde,full
5,3.2178990084363455,kde,full
6,2.084901660045516,kde,full
7,-0.2016795206565225,kde,full
8,2.9108889704492897,kde,full
9,4.627356538682049,kde,full
10,3.653392514452687,kde,full
11,1.9710822281892133,kde,full
12,2.638503862347865,kde,full
13,5.036321217335502,kde,full
14,3.1984547968753274,kde,full
15,4.311529250221791,kde,full
16,2.290523191476396,kde,full
17,4.075736750742024,kde,full
18,3.4241875510816606,kde,full
19,3.493666258909655,kde,full
20,1.530386604433259,kde,full
21,0.42340428076950004,kde,full
22,-0.42855288153509474,kde,full
23,2.310866463986009,kde,full
24,1.6629419338432894,kde,full
25,-0.9473226640932978,kde,full
26,1.744964487682107,kde,full
27,4.801221842751868,kde,full
28,5.386311735698048,kde,full
29,1.5570383416453746,kde,full
30,7.332161984218514,kde,full
31,7.15174112401013,kde,full
32,3.1243626515247596,kde,full
33,4.878908744764014,kde,full
34,1.566245695207122,kde,full
35,2.4667799056210056,kde,full
36,2.8058657113321233,kde,full
37,3.112326698033615,kde,full
38,3.150430225870491,kde,full
39,1.481267555849373,kde,full
40,-0.6198147760510603,kde,full
41,1.5887647218936083,kde,full
42,1.169550746061291,kde,full
43,-0.6295040354565737,kde,full
44,1.571748803416137,kde,full
45,2.6012584926390643,kde,full
46,3.1478853057840075,kde,full
47,1.3828967783149766,kde,full
48,7.749259448650307,kde,full
49,2.5261656154272307,kde,full
50,2.3867966951799886,kde,full
51,2.6878590792512624,kde,full
52,1.4009216997022806,kde,full
53,2.388593423285895,kde,full
54,2.8088197207444994,kde,full
55,2.977202584551247,kde,full
56,8.400169066647287,kde,full
57,2.6401838458298985,kde,full
58,-0.8452249908699265,kde,full
59,2.11411274171248,kde,full
60,1.0827437521626748,kde,full
61,-0.9823929107537719,kde,full
62,1.5762673711359585,kde,full
63,1.7132538622419466,kde,full
64,2.4778467908259576,kde,full
65,0.9477603640163405,kde,full
66,8.130819042394556,kde,full
67,2.1975564347833263,kde,full
68,3.029233644343033,kde,full
69,2.8815773587795586,kde,full
70,1.3847261530091535,kde,full
71,2.195504784928991,kde,full
72,1.5050134535266941,kde,full
73,4.550854732162207,kde,full
74,2.8813237668599316,kde,full
75,8.579690963480619,kde,full
76,4.295335544499144,kde,full
77,-0.9635895442260545,kde,full
78,1.9931666319385282,kde,full
79,1.2835630274216907,kde,full
80,-0.9873778589022045,kde,full
81,1.5532936019279915,kde,full
82,1.6100184649016391,kde,full
83,3.950810515667632,kde,full
84,1.1912980219339109,kde,full
85,20.0,kde,full
86,2.915982784533002,kde,full
87,2.5815441556910423,kde,full
88,2.7958296371030116,kde,full
89,1.3130497698886325,kde,full
90,2.2022073887518463,kde,full
91,1.3698907263405595,kde,full
92,2.074983399710581,kde,full
93,2.819671354491577,kde,full
94,1.307850974304007,kde,full
95,1.0519593774108744,kde,full
96,-1.0002054838801766,kde,full
97,1.8458863290192054,kde,full
98,1.1618995327751336,kde,full
99,-1.023917176111647,kde,full
100,1.62800934675709,kde,full
101,2.0021737356919007,kde,full
102,3.298673601299904,kde,full
103,1.7951787861827908,kde,full
104,3.286401995270012,kde,full
105,3.0457537210959322,kde,full
106,2.3882895457385374,kde,full
107,3.0910477408017667,kde,full
108,1.332195353830322,kde,full
109,2.2136858093196374,kde,full
110,1.6926956686516044,kde,full
111,1.6139983987015798,kde,full
112,2.751653158422835,kde,full
113,2.6557314995198142,kde,full
114,2.0299388550136963,kde,full
115,-1.180656656869161,kde,full
116,2.2282620279385497,kde,full
117,1.177081504376538,kde,full
118,-1.1743645222397618,kde,full
119,1.8237035194512312,kde,full
120,1.8233934571802597,kde,full
121,4.2590625311060855,kde,full
122,2.1191719433625362,kde,full
123,1.9204055713289656,kde,full
124,2.1315544669852873,kde,full
125,2.084331502882688,kde,full
126,3.032633687610875,kde,full
127,1.4790402053390723,kde,full
128,2.374777157872193,kde,full
129,1.7430297897705147,kde,full
130,1.7310366766315683,kde,full
131,2.7685733196628357,kde,full
132,1.7976575533609402,kde,full
133,2.4542575894969882,kde,full
134,-0.9965473646686531,kde,full
135,1.9053553633462457,kde,full
136,1.1264089596009808,kde,full
137,-1.2559519688985468,kde,full
138,1.4896554320794886,kde,full
139,2.4012873857528905,kde,full
140,2.538885576791692,kde,full
141,1.7324237365201554,kde,full
142,1.782581141685764,kde,full
143,2.24619740625418,kde,full
144,2.362854348346041,kde,full
145,3.277018424821653,kde,full
146,1.5742121731168437,kde,full
147,2.351485286160675,kde,full
148,-0.14169831827260215,kde,full
149,1.6151436383444935,kde,full
150,3.0421975730185142,kde,full
151,1.6397280168258463,kde,full
152,2.8192115439389576,kde,full
153,-1.0092573255901673,kde,full
154,2.095818356295541,kde,full
155,1.2282643605846273,kde,full
156,-0.9894358204740602,kde,full
157,1.6791566907286235,kde,full
158,2.491007115138159,kde,full
159,2.07115166063894,kde,full
160,1.6476576350368253,kde,full
161,1.6912496278631095,kde,full
162,2.20012029438482,kde,full
163,2.437443519254798,kde,full
